COMMODITY,COMMODITY_DESCRIPTION,EXTENDED_DESCRIPTION,QUANTITY,UNIT_OF_MEASURE,UNIT_OF_MEAS_DESC,UNIT_PRICE,ITM_TOT_AM,MASTER_AGREEMENT,CONTRACT_NAME,PURCHASE_ORDER,AWARD_DATE,VENDOR_CODE,LGL_NM,AD_LN_1,AD_LN_2,CITY,ST,ZIP,CTRY
2201655,"PARTS AND ACCESSORIES, FLOWMETER SYSTEM",pH Test Strips,1.0,EA,Each,45.32,45.32,MA2200GA140000076,pH Test Strips and Free Ammonia Reagent,DO220015091520445,09/15/2015,HAC2179000,HACH CO,AMERICAN SIGMA,PO BOX 389,LOVELAND,CO,80539-0608,US
3204247,"NUTS, LOCK, CONDUIT, STEEL","LOCKNUT, CONDUIT, 5 INCH, PRESSED STEEL, GALVANIZED, FOR RIGID CONDUIT.  On Qualified Products List EL334  DO NOT PURCHASE FOR ST ELMO PER IDLE STOCK REVIEW/LENNY MOLBERT 6/00",75.0,EA,Each,12.65,948.75,MA1100GA130000040,Generated by reorder 12/3/14 3:11 AM.,DOM1100MAX45150,12/03/2014,KBS6049140,KBS ELECTRICAL DISTRIBUTORS INC,504 E ST ELMO,,AUSTIN,TX,78745,US
7507774,"SAND, SILICA",Contract for topdressing sand  50 tons for Lions,0.0,,,0.0,606.34,MA8600GA090000006,Topdressing Sand for Golf Courses,DO860011072021404,07/20/2011,OSB8311222,OSBURN MATERIALS INC,24068 PLEASANTON RD,,SAN ANTONIO,TX,78264-9580,US
80072,"Shoes, Safety Toe",,0.0,,,0.0,366.0,MA7400GC100000003,Red Wing Shoe Store/Steel Toe Boots,DO620014022208468,02/22/2014,RED8315105,RED WING BRANDS OF AMERICA INC,3005 S. Lamar #115,,AUSTIN,TX,78704-4786,US
67015740001,TOOL STRAIGHTNER FOR TYPE K COPPER 3/4 INCH,RC LN_____ QTY DEL_____ P/F_____ B/O______ DEL DATE_________,4.0,EA,Each,78.86,315.44,,Materials needed at Glen Bell warehouse,PO220014122901229,12/29/2014,ACT7090725,ACT PIPE & SUPPLY INC,1400 GRAND AVE PKWY,,PFLUGERVILLE,TX,78660-2028,US
54523,"Impact Tools, Air Powered (Not Road Building)",,0.0,,,0.0,53.88,MA7400GC120000003,Home Depot/spray bottles/Eli Mendoza,DO620012082120258,09/27/2012,VC0000101405,HOME DEPOT USA INC,STORE SUPPORT CENTER,"2455 PACES FERRY RD, NW",ATLANTA,GA,30339,US
65985850002,TEE SCH 40 PVC 1/2 SLIP,RC LN___ QTY DEL___ P/F____ B/O___ DEL DATE_____,10.0,EA,Each,0.25,2.5,MA7400GC110000004,material needed at awgbsc,DO220012033011249,03/30/2012,MSC6003170,SID TOOL CO INC,,,,,,
20689,"Storage Devices, Electronic (Disk Drive Compatible",,7.0,EA,Each,9.95,69.65,,"Digi Camera, SD Card, Thumb Drives, I & C Shop, Crouch",PO220010040705365,04/07/2010,OFF3505000,OFFICE DEPOT INC,Office Depot Store,2101 S. Lamar Blvd,AUSTIN,TX,78704-4921,US
72582,"Two-Way Radio Supplies, Parts, and Accessories",Tessco 493958-242.30,2.0,EA,Each,121.15,242.3,MA6400GA070000042,"Tessco 63454,76668,449952,371328-706.94",DO640010021211705,02/16/2010,TES8311882,TESSCO INC,11126 MCCORMICK RD,,HUNT VALLEY,MD,21031-1404,US
44538102001,HAMMER BALL PEEN W/HANDLE SIZE NO. 2/0 12 OZ,RC LN_____ QTY DEL_____ P/F_____ B/O_____ DEL DATE__________,6.0,EA,Each,8.12,48.72,MA7400GC130000008,material needed at awgbsc,DO220014080818464,08/08/2014,MSC6003170,SID TOOL CO INC,121 Interpark Blvd Ste 1203,,SAN ANTONIO,TX,78216,US
27025576001,0.9% Sodium Chloride 250ml  Hospira (Abbott Labs) # 798302,"F001      0.9% Sodium Chloride 250ml  Injection, USP 250ml. B.BRAUN L8002",300.0,EA,Each,0.86,258.0,MA9300GA120000098,medical supplies,DO930014061315090,06/13/2014,BOU8303524,BOUND TREE MEDICAL L L C,PO BOX 8023,,DUBLIN,OH,43016-2023,US
2855070,"LAMPS, METAL HALIDE TYPE, BASE BURNING ANY POSITIO",,60.0,EA,Each,23.25,1395.0,,Lamps #MXR50/U/MED  MAX PO# 2871,PO810012110600781,11/06/2012,CON1261500,CONSOLIDATED ELECTRICAL DISTRIBUTERS INC,PO BOX 17277,,AUSTIN,TX,78760-7277,US
4759901,EXPENDABLE MEDICAL SUPPLY PER PRICE AGREEMENT,Medical Supplies,2065.58,DOL,Dollar,1.0,2065.58,MA7400S050378,Medical Supplies,DO910010020110399,02/01/2010,GEN2007500,MCKESSON MEDICAL-SURGICAL INC,CORP,11926 BROOKWOOD CIRCLE,AUSTIN,TX,78750-,US
2851078,"SPLICES, WIRE/CABLE, COMPRESSION","SPLICE, 15 KV, 1/0 AWG ALUMINUM, WITH COLD SHRINK JACKET  DIAMETER RANGE OF 0.637 - 0.900"", KIT SUPPLIED WITH COMPRESSION CONNECTOR.  COMPRESSION CONNECTOR AND NEUTRALS CONNECTOR  ON QUALIFIED PRODUCTS LIST EL-1494",50.0,KIT,Kit,27.0,1350.0,MA1100GA080000080,Critical materials Supply Arrangement,DOM1100MAX15605,07/19/2011,TEC4570250,TECHLINE INC,9609 BECK CIR,,AUSTIN,TX,78758,US
269,DRUGS AND PHARMACEUTICALS,Invoice # 2196117,0.0,,,0.0,37.77,,Cardinal Health - RIFAMPIN,PO910012120301243,12/03/2012,VC0000102790,CARDINAL HEALTH 411 INC,851 HENRIETTA CREEK RD,,ROANOKE,TX,76262,US
20710,COMPUTER ACCESSORIES AND SUPPLIES,19419-soundbar; quote #1017621918112,1.0,EA,Each,30.59,30.59,MA5600NC140000006,19419-michael strycharske-Soundbar/monitor,DO560014052914196,05/29/2014,DEL1512250,DELL MARKETING LP,SLG-R2E-07,,ROUND ROCK,TX,78682-0001,US
20072140006,"SHIRTS, TEE, DRI-FIT COA, SS, 2XLARGE",RC LN___ QTY DEL___ P/F___ B/O___ DEL DATE________,75.0,EA,Each,9.73,729.75,,material needed at awwbsc,PO220014081305045,08/13/2014,VS0000032065,Sunbelt Supply LLC,3301 Sunrise,,Round Rock,TX,78665,US
28586,"Transformers, Power Distribution (Incl. Fluid Fill","TRANSFORMER, DISTRIBUTION, SINGLE PHASE, POLE MOUNT, DOE, 50KVA, 120/240  VOLT, 3 WIRE, 2 HV BUSHINGS WITH TANK MOUNTED ARRESTER, SPEC 1579 LATEST REVISION   0-19516 REPLACES 0-1830",1.0,EA,Each,1944.0,1944.0,MA1100GA080000078,Critical materials Supply Arrangement,DOM1100MAX64821,02/28/2017,TEX4799500,TEXAS ELECTRIC COOPERATIVES,1122 Colorado ST 24th Floor,,Austin,TX,78701,US
75077,Sand and Gravel,GEM SAND FOR SOUTH-4 LOADS,0.0,,,0.0,1604.58,MA2200GA170000004,Gem Sand- South,DO220017041309782,04/13/2017,MEL8302760,MELENDREZ TRUCKING LLC,11608 MOORE RD,,AUSTIN,TX,78719-9652,US
48532103001,DEODORANT ROOM AEROSAL 13 OZ,RC LN_______ QTY DEL_________P/F_____ B/O____DEL DATE______________    DELIVERY DATE SHALL BE NO LATER THAN 11/16/2018,4.0,DZ,Dozen,54.51,218.04,MA7400GC130000008,MSC material for AWWBSC,DO220018110202421,11/02/2018,MSC6003170,SID TOOL CO INC,121 Interpark Blvd Ste 1203,,SAN ANTONIO,TX,78216,US
75077,Sand and Gravel,"This is a 24-month contract for 1"" river rock to be delivered to locations within the Austin Water Utility and Picked Up at the Contractor's location.",0.0,,,0.0,1301.43,MA2200GA080000037,4 loads of road base for NSC,DO220010042618222,04/26/2010,VC0000101878,COMMUNITY TRUCKING LLC,PO BOX 737,,CEDAR CREEK,TX,78612,US
2855019,"LAMPS, FLUORESCENT, PREHEAT, (STARTER OR PUSHBUTTO","100 WATT, HIGH-PRESSURE SODIUM LAMP SHALL CONTAIN UP TO 90% LESS MERCURY  THAN A STANDARD HIGH-PRESSURE SODIUM LAMP. LAMP SHALL INCLUDE A WELDED,  LEAD-FREE BRASS BASE, SHALL PASS THE EXISTING FEDERAL TCLP LIMITS AND BE  RATED FOR 30,000 HOURS LIFE. LAMP SHALL BE A DIRECT RETROFIT ON EXISTING  ANSI DESIGNATED BALLASTS OF SIMILAR WATTAGE OF STANDARD HIGH-PRESSURE  SODIUM LAMPS AND SHALL MEET EXISTING ANSI SPECIFICATIONS FOR THOSE  CORRESPONDING WATTAGES. LAMP SHALL HAVE NO MORE THAN THE SAME WARM-UP  TIME AND HOT RESTRIKE TIME AS A STANDARD HIGH-PRESSURE SODIUM LAMP.  LAMP SHALL BE NON-CYCLING AND SHALL REMAIN OFF AT THE END OF LIFE AND  SHALL NOT CYCLE. ON QUALIFIED PRODUCTS LIST EL-202.",800.0,EA,Each,8.9,7120.0,MA1100GA120000039,Generated by reorder 11/16/12 2:30 PM.,DOM1100MAX27090,11/20/2012,AME0202250,FACILITY SOLUTIONS GROUP INC,610 W POWELL LN,,AUSTIN,TX,78753-5935,US
47516401006,F006.1    10 Drop Intervenous Set. 95 inches total length,"F006.1 10 Drop Intervenous Set. 95 inches total length. 10 Drops/ml 24 hour admin set with pre-slit Port, Bravo24, Rotating Luer, 1 ext, Non-DEPH tubing.  Latex Free. 50 each per case.   Mfgr: ICU Medical Part Number B99134 or buyer approved equavilent",50.0,CASE,Case,125.0,6250.0,MA9300GA100000027,medical supplies,DO930012051013779,05/10/2012,GEN2007500,MCKESSON MEDICAL-SURGICAL INC,P.O. Box 933027,,Atlanta,GA,31193-3027,US
28574,"Pole Line Hardware: Anchors, Arms, Bolts, Braces,","GRIP, CABLE, FOR CONDUIT RISER, 4"" CONDUIT, CABLE DIAMETER OF  2.5"" TO 3.5"",TINNED BRONZE.  ON QUALIFIED PRODUCTS LIST EL-065",50.0,EA,Each,59.99,2999.5,,GRIP CABLE FOR CONDUIT,CTM1100MAX54648,12/17/2015,TEC4570250,TECHLINE INC,9609 BECK CIR,,AUSTIN,TX,78758,US
