Development Name,Borough,Account Name,Location,Meter AMR,Meter Scope,TDS #,EDP,RC Code,Funding Source,AMP #,Vendor Name,UMIS BILL ID,Revenue Month,Service Start Date,Service End Date,# days,Meter Number,Estimated,Current Charges,Rate Class,Bill Analyzed,Consumption (HCF),Water&Sewer Charges,Other Charges
BAISLEY PARK,QUEENS,BAISLEY PARK,BLD 09,AMR,BLD 09,91,240,Q009100,FEDERAL,NY005010910P,NEW YORK CITY WATER BOARD,8562430,2020-01,12/23/2019,01/26/2020,34,K13060723,N,196.35,Basic Water and Sewer,Yes,19,196.35,0
BAISLEY PARK,QUEENS,BAISLEY PARK,BLD 09,AMR,BLD 09,91,240,Q009100,FEDERAL,NY005010910P,NEW YORK CITY WATER BOARD,8667039,2020-02,01/26/2020,02/24/2020,29,K13060723,N,258.35,Basic Water and Sewer,Yes,25,258.35,0
BAISLEY PARK,QUEENS,BAISLEY PARK,BLD 09,AMR,BLD 09,91,240,Q009100,FEDERAL,NY005010910P,NEW YORK CITY WATER BOARD,8759719,2020-03,02/24/2020,03/23/2020,28,K13060723,N,217.02,Basic Water and Sewer,Yes,21,217.02,0
BAISLEY PARK,QUEENS,BAISLEY PARK,BLD 09,AMR,BLD 09,91,240,Q009100,FEDERAL,NY005010910P,NEW YORK CITY WATER BOARD,8870760,2020-04,03/23/2020,04/23/2020,31,K13060723,N,103.34,Basic Water and Sewer,Yes,10,103.34,0
BAY VIEW,BROOKLYN,BAY VIEW,BLD 25 - Community Center,NONE,Community Center,92,670,K209200,MIXED FINANCE/LLC1,NY005020920P,NEW YORK CITY WATER BOARD,8560969,2020-01,12/23/2019,01/26/2020,34,E17250205,N,72.34,Basic Water and Sewer,Yes,7,72.34,0
BAY VIEW,BROOKLYN,BAY VIEW,BLD 25 - Community Center,NONE,Community Center,92,670,K209200,MIXED FINANCE/LLC1,NY005020920P,NEW YORK CITY WATER BOARD,8668124,2020-02,01/26/2020,02/24/2020,29,E17250205,N,82.67,Basic Water and Sewer,Yes,8,82.67,0
BAY VIEW,BROOKLYN,BAY VIEW,BLD 25 - Community Center,NONE,Community Center,92,670,K209200,MIXED FINANCE/LLC1,NY005020920P,NEW YORK CITY WATER BOARD,8760323,2020-03,02/24/2020,03/23/2020,28,E17250205,N,62.00,Basic Water and Sewer,Yes,6,62,0
BAY VIEW,BROOKLYN,BAY VIEW,BLD 25 - Community Center,NONE,Community Center,92,670,K209200,MIXED FINANCE/LLC1,NY005020920P,NEW YORK CITY WATER BOARD,8870903,2020-04,03/23/2020,04/23/2020,31,E17250205,N,39.34,Basic Water and Sewer,Yes,1,0,39.34
BERRY STREET-SOUTH 9TH STREET,BROOKLYN,BERRY STREET-SOUTH 9TH STREET,BLD 02,AMR,BLD 02,357,777,K035700,FEDERAL,NY005011310P,NEW YORK CITY WATER BOARD,8560922,2020-01,12/23/2019,01/26/2020,34,O78363626,N,3968.29,Basic Water and Sewer,Yes,384,3968.29,0
BERRY STREET-SOUTH 9TH STREET,BROOKLYN,BERRY STREET-SOUTH 9TH STREET,BLD 02,AMR,BLD 02,357,777,K035700,FEDERAL,NY005011310P,NEW YORK CITY WATER BOARD,8640291,2020-01,01/26/2020,02/13/2020,18,O78363626,N,1932.48,Basic Water and Sewer,Yes,187,1932.48,0
